Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LT50210272011308GNC01,LANDSAT_5,BUMPER,GNC,DAY, 021, 027,2,2011/11/04,2011:308:16:08:40.24925,2011:308:16:09:06.86206,N,9,9,9,9,9,9,9,9,7.58,24,3.82,.82,1.69,25.35218407,161.93901311, 47.44994   (47°26'59.78"N), -83.23072   (83°13'50.59"W), 48.40384   (48°24'13.82"N), -84.14348  (84°08'36.53"W), 48.04813   (48°02'53.27"N), -81.71113   (81°42'40.07"W), 46.83344   (46°50'00.38"N), -84.71708   (84°43'01.49"W), 46.48797 (46°29'16.69"N), -82.35238   (82°21'08.57"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.40176   (48°24'06.34"N), -84.95095   (84°57'03.42"S), 48.46807   (48°28'05.05"N), -81.59931   (81°35'57.52"S), 46.39258   (46°23'33.29"N), -84.80332  (84°48'11.95"W), 46.45442   (46°27'15.91"N), -81.57685   (81°34'36.66"S),8271,7461,7461,8271,143,4.575,3.279,3.191,.165,UTM,WGS84,WGS84,17,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.44994,-83.23072,48.40384,-84.14348,48.04813,-81.71113,46.83344,-84.71708,46.48797,-82.35238,LT50210272011308GNC01,LT50210272011308GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50210272011308GNC01
LT50220272011299EDC00,LANDSAT_5,BUMPER,EDC,DAY, 022, 027,2,2011/10/26,2011:299:16:15:00.95869,2011:299:16:15:27.57150,N,9,9,9,9,9,9,9,9,63.37,56.81,56.69,60.72,79.26,28.19099383,161.14446724, 47.45322   (47°27'11.59"N), -84.77952   (84°46'46.27"W), 48.40713   (48°24'25.67"N), -85.69232  (85°41'32.35"W), 48.05140   (48°03'05.04"N), -83.25982   (83°15'35.35"W), 46.83673   (46°50'12.23"N), -86.26598   (86°15'57.53"W), 46.49124 (46°29'28.46"N), -83.90115   (83°54'04.14"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.43282   (48°25'58.15"N), -86.37001   (86°22'12.04"S), 48.36914   (48°22'08.90"N), -83.12181   (83°07'18.52"S), 46.49746   (46°29'50.86"N), -86.39272  (86°23'33.79"W), 46.43792   (46°26'16.51"N), -83.26122   (83°15'40.39"S),8021,7171,7171,8021,30,7.381,5.568,4.845,.327,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45322,-84.77952,48.40713,-85.69232,48.0514,-83.25982,46.83673,-86.26598,46.49124,-83.90115,LT50220272011299EDC00,LT50220272011299EDC00,http://earthexplorer.usgs.gov/download/options/5440/LT50220272011299EDC00
LT50220272011283GNC01,LANDSAT_5,BUMPER,GNC,DAY, 022, 027,2,2011/10/10,2011:283:16:15:09.10200,2011:283:16:15:35.71481,N,9,9,9,9,9,9,9,9,.22,.81,0,.07,0,33.65328895,158.74163495, 47.45338   (47°27'12.17"N), -84.75388   (84°45'13.97"W), 48.40729   (48°24'26.24"N), -85.66668  (85°40'00.05"W), 48.05156   (48°03'05.62"N), -83.23418   (83°14'03.05"W), 46.83689   (46°50'12.80"N), -86.24035   (86°14'25.26"W), 46.49140 (46°29'29.04"N), -83.87550   (83°52'31.80"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.43804   (48°26'16.94"N), -86.33749   (86°20'14.96"S), 48.37356   (48°22'24.82"N), -83.09311   (83°05'35.20"S), 46.50269   (46°30'09.68"N), -86.36138  (86°21'40.97"W), 46.44241   (46°26'32.68"N), -83.23357   (83°14'00.85"S),8011,7171,7171,8011,148,4.693,3.409,3.225,.196,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45338,-84.75388,48.40729,-85.66668,48.05156,-83.23418,46.83689,-86.24035,46.4914,-83.8755,LT50220272011283GNC01,LT50220272011283GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50220272011283GNC01
LT50210272011276GNC01,LANDSAT_5,BUMPER,GNC,DAY, 021, 027,2,2011/10/03,2011:276:16:09:03.64563,2011:276:16:09:30.25850,N,9,9,9,9,9,9,9,9,0,0,0,0,0,36.12527945,157.34615182, 47.45080   (47°27'02.88"N), -83.20905   (83°12'32.58"W), 48.40470   (48°24'16.92"N), -84.12182  (84°07'18.55"W), 48.04899   (48°02'56.36"N), -81.68943   (81°41'21.95"W), 46.83430   (46°50'03.48"N), -84.69544   (84°41'43.58"W), 46.48883 (46°29'19.79"N), -82.33070   (82°19'50.52"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.40783   (48°24'28.19"N), -84.93114   (84°55'52.10"S), 48.47357   (48°28'24.85"N), -81.57908   (81°34'44.69"S), 46.39862   (46°23'55.03"N), -84.78423  (84°47'03.23"W), 46.45991   (46°27'35.68"N), -81.55738   (81°33'26.57"S),8271,7461,7461,8271,210,3.612,2.565,2.543,.107,UTM,WGS84,WGS84,17,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.4508,-83.20905,48.4047,-84.12182,48.04899,-81.68943,46.8343,-84.69544,46.48883,-82.3307,LT50210272011276GNC01,LT50210272011276GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50210272011276GNC01
LT50210272011260EDC00,LANDSAT_5,BUMPER,EDC,DAY, 021, 027,2,2011/09/17,2011:260:16:09:23.40031,2011:260:16:09:50.01319,N,9,9,9,9,9,9,9,9,12.13,17.37,9.99,5.09,16.09,41.72915695,153.51110863, 47.45802   (47°27'28.87"N), -83.23531   (83°14'07.12"W), 48.41194   (48°24'42.98"N), -84.14817  (84°08'53.41"W), 48.05618   (48°03'22.25"N), -81.71546   (81°42'55.66"W), 46.84155   (46°50'29.58"N), -84.72192   (84°43'18.91"W), 46.49603 (46°29'45.71"N), -82.35688   (82°21'24.77"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.40983   (48°24'35.39"N), -84.95157   (84°57'05.65"S), 48.47613   (48°28'34.07"N), -81.60753   (81°36'27.11"S), 46.40336   (46°24'12.10"N), -84.80407  (84°48'14.65"W), 46.46518   (46°27'54.65"N), -81.58478   (81°35'05.21"S),8251,7451,7451,8251,89,4.088,2.88,2.901,.141,UTM,WGS84,WGS84,17,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45802,-83.23531,48.41194,-84.14817,48.05618,-81.71546,46.84155,-84.72192,46.49603,-82.35688,LT50210272011260EDC00,LT50210272011260EDC00,http://earthexplorer.usgs.gov/download/options/5440/LT50210272011260EDC00
LT50220272011251EDC00,LANDSAT_5,BUMPER,EDC,DAY, 022, 027,2,2011/09/08,2011:251:16:15:42.17288,2011:251:16:16:08.78569,N,9,9,9,9,9,9,9,9,.01,0,.01,0,.03,44.74811037,151.02857537, 47.45454   (47°27'16.34"N), -84.78549   (84°47'07.76"W), 48.40845   (48°24'30.42"N), -85.69831  (85°41'53.92"W), 48.05271   (48°03'09.76"N), -83.26575   (83°15'56.70"W), 46.83805   (46°50'16.98"N), -86.27199   (86°16'19.16"W), 46.49256 (46°29'33.22"N), -83.90710   (83°54'25.56"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.43012   (48°25'48.43"N), -86.37004   (86°22'12.14"S), 48.36685   (48°22'00.66"N), -83.13414   (83°08'02.90"S), 46.49476   (46°29'41.14"N), -86.39275  (86°23'33.90"W), 46.43561   (46°26'08.20"N), -83.27309   (83°16'23.12"S),7991,7171,7171,7991,174,4.094,2.797,2.989,.165,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45454,-84.78549,48.40845,-85.69831,48.05271,-83.26575,46.83805,-86.27199,46.49256,-83.9071,LT50220272011251EDC00,LT50220272011251EDC00,http://earthexplorer.usgs.gov/download/options/5440/LT50220272011251EDC00
LT50220272011235GNC02,LANDSAT_5,BUMPER,GNC,DAY, 022, 027,2,2011/08/23,2011:235:16:15:52.62694,2011:235:16:16:19.23969,N,9,9,9,9,9,9,9,9,6.5,4.42,7.15,11.87,2.54,49.7083639,146.3921679, 47.45154   (47°27'05.54"N), -84.78412   (84°47'02.83"W), 48.40544   (48°24'19.58"N), -85.69690  (85°41'48.84"W), 48.04973   (48°02'59.03"N), -83.26448   (83°15'52.13"W), 46.83504   (46°50'06.14"N), -86.27053   (86°16'13.91"W), 46.48957 (46°29'22.45"N), -83.90577   (83°54'20.77"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.43280   (48°25'58.08"N), -86.36595   (86°21'57.42"S), 48.36955   (48°22'10.38"N), -83.13394   (83°08'02.18"S), 46.50014   (46°30'00.50"N), -86.38878  (86°23'19.61"W), 46.44100   (46°26'27.60"N), -83.27273   (83°16'21.83"S),7981,7161,7161,7981,126,4.048,2.777,2.945,.157,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45154,-84.78412,48.40544,-85.6969,48.04973,-83.26448,46.83504,-86.27053,46.48957,-83.90577,LT50220272011235GNC02,LT50220272011235GNC02,http://earthexplorer.usgs.gov/download/options/5440/LT50220272011235GNC02
LT50210272011228GNC01,LANDSAT_5,BUMPER,GNC,DAY, 021, 027,2,2011/08/16,2011:228:16:09:45.45038,2011:228:16:10:12.06319,N,9,9,9,9,9,9,9,9,3.79,11.02,.91,1.52,1.71,51.6709787,144.41138975, 47.45140   (47°27'05.04"N), -83.23509   (83°14'06.32"W), 48.40530   (48°24'19.08"N), -84.14787  (84°08'52.33"W), 48.04959   (48°02'58.52"N), -81.71545   (81°42'55.62"W), 46.83490   (46°50'05.64"N), -84.72150   (84°43'17.40"W), 46.48943 (46°29'21.95"N), -82.35674   (82°21'24.26"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.40728   (48°24'26.21"N), -84.94732   (84°56'50.35"S), 48.47343   (48°28'24.35"N), -81.60749   (81°36'26.96"S), 46.39810   (46°23'53.16"N), -84.79980  (84°47'59.28"W), 46.45978   (46°27'35.21"N), -81.58472   (81°35'04.99"S),8241,7461,7461,8241,179,3.881,2.93,2.545,.134,UTM,WGS84,WGS84,17,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.4514,-83.23509,48.4053,-84.14787,48.04959,-81.71545,46.8349,-84.7215,46.48943,-82.35674,LT50210272011228GNC01,LT50210272011228GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50210272011228GNC01
LT50220272011219GNC01,LANDSAT_5,BUMPER,GNC,DAY, 022, 027,2,2011/08/07,2011:219:16:16:00.91938,2011:219:16:16:27.53213,N,9,9,9,9,9,9,9,9,41.59,2.11,57.16,12.93,94.16,53.96603421,142.03038784, 47.45597   (47°27'21.49"N), -84.77541   (84°46'31.48"W), 48.40988   (48°24'35.57"N), -85.68825  (85°41'17.70"W), 48.05414   (48°03'14.90"N), -83.25563   (83°15'20.27"W), 46.83949   (46°50'22.16"N), -86.26195   (86°15'43.02"W), 46.49398 (46°29'38.33"N), -83.89701   (83°53'49.24"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44085   (48°26'27.06"N), -86.35774   (86°21'27.86"S), 48.37722   (48°22'37.99"N), -83.12120   (83°07'16.32"S), 46.50549   (46°30'19.76"N), -86.38090  (86°22'51.24"W), 46.44600   (46°26'45.60"N), -83.26067   (83°15'38.41"S),7991,7171,7171,7991,65,3.691,2.401,2.803,.145,UTM,WGS84,WGS84,16,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45597,-84.77541,48.40988,-85.68825,48.05414,-83.25563,46.83949,-86.26195,46.49398,-83.89701,LT50220272011219GNC01,LT50220272011219GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50220272011219GNC01
LT50210272011212GNC01,LANDSAT_5,BUMPER,GNC,DAY, 021, 027,2,2011/07/31,2011:212:16:09:53.77269,2011:212:16:10:20.38544,N,9,9,9,9,9,9,9,9,8.82,8.08,15.48,2.65,9.07,55.56721573,140.4128192, 47.45737   (47°27'26.53"N), -83.22741   (83°13'38.68"W), 48.41129   (48°24'40.64"N), -84.14027  (84°08'24.97"W), 48.05553   (48°03'19.91"N), -81.70758   (81°42'27.29"W), 46.84089   (46°50'27.20"N), -84.71400   (84°42'50.40"W), 46.49538 (46°29'43.37"N), -82.34899   (82°20'56.36"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.40459   (48°24'16.52"N), -84.94711   (84°56'49.60"S), 48.47075   (48°28'14.70"N), -81.60340   (81°36'12.24"S), 46.39810   (46°23'53.16"N), -84.79980  (84°47'59.28"W), 46.45980   (46°27'35.28"N), -81.58082   (81°34'50.95"S),8251,7451,7451,8251,86,4.070,3.051,2.693,.17,UTM,WGS84,WGS84,17,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,47.45737,-83.22741,48.41129,-84.14027,48.05553,-81.70758,46.84089,-84.714,46.49538,-82.34899,LT50210272011212GNC01,LT50210272011212GNC01,http://earthexplorer.usgs.gov/download/options/5440/LT50210272011212GNC01
