Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70370252016202EDC00,BUMPER,EDC,DAY, 037, 025,2016/07/20,2016:202:18:01:35.6659375,2016:202:18:02:02.4198124, 9, 9,  40.64,  23.73,  45.63,  33.18,  60.00,57.00850296,148.07261658,50°16'34.61"N,106°45'16.52"W,51°15'11.48"N,107°45'11.99"W,50°51'45.11"N,105°05'00.82"W,49°39'50.98"N,108°23'13.60"W,49°17'10.68"N,105°48'04.43"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,4.581507,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE, 51.25791   (51°15'28.48"N),-108.61044  (108°36'37.58"W), 51.31361   (51°18'49.00"N),-104.98996  (104°59'23.86"W), 49.22472   (49°13'28.99"N),-108.45986   (108°27'35.50"W), 49.27656   (49°16'35.62"N),-104.99038   (104°59'25.37"W),15101,16841,7551,8421,7551,8421,,,34,4.321,2.669,3.398,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27628,-106.75459,51.25319,-107.75333,50.86253,-105.08356,49.66416,-108.38711,49.2863,-105.80123,LE70370252016202EDC00,LE70370252016202EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016202EDC00
LE70370252016186EDC00,BUMPER,EDC,DAY, 037, 025,2016/07/04,2016:186:18:01:34.3452500,2016:186:18:02:01.0991874, 9, 9,  37.69,  26.71,  77.62,  23.93,  22.49,59.31031418,147.18891907,50°16'32.74"N,106°45'29.12"W,51°15'12.92"N,107°45'21.96"W,50°51'46.66"N,105°05'11.62"W,49°39'51.59"N,108°23'23.93"W,49°17'11.18"N,105°48'15.62"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-12.689059,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25495   (51°15'17.82"N),-108.61881  (108°37'07.72"W), 51.31091   (51°18'39.28"N),-104.99857  (104°59'54.85"W), 49.23255   (49°13'57.18"N),-108.46865   (108°28'07.14"W), 49.28465   (49°17'04.74"N),-104.99863   (104°59'55.07"W),15021,16841,7511,8421,7511,8421,,,19,4.701,2.802,3.775,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27576,-106.75809,51.25359,-107.7561,50.86296,-105.08656,49.66433,-108.38998,49.28644,-105.80434,LE70370252016186EDC00,LE70370252016186EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016186EDC00
LE70370252016170EDC00,BUMPER,EDC,DAY, 037, 025,2016/06/18,2016:170:18:01:34.1788125,2016:170:18:02:00.9326875, 9, 9,  80.59,  99.03,  84.13,  98.97,  40.22,60.17276764,148.0612793,50°16'31.80"N,106°46'08.08"W,51°15'09.97"N,107°46'00.44"W,50°51'43.78"N,105°05'52.98"W,49°39'49.03"N,108°24'00.65"W,49°17'09.20"N,105°48'54.86"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-5.535641,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.26020   (51°15'36.72"N),-108.62352  (108°37'24.67"W), 51.31630   (51°18'58.68"N),-105.00287  (105°00'10.33"W), 49.22704   (49°13'37.34"N),-108.47239   (108°28'20.60"W), 49.27926   (49°16'45.34"N),-105.00275   (105°00'09.90"W),15101,16841,7551,8421,7551,8421,,,24,5.116,2.886,4.224,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.2755,-106.76891,51.25277,-107.76679,50.86216,-105.09805,49.66362,-108.40018,49.28589,-105.81524,LE70370252016170EDC00,LE70370252016170EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016170EDC00
LE70380252016161EDC00,BUMPER,EDC,DAY, 038, 025,2016/06/09,2016:161:18:07:43.6283750,2016:161:18:08:10.3822499, 9, 9,  18.18,   0.53,   8.42,  12.21,  51.55,59.94246674,149.15254211,50°16'33.38"N,108°19'01.38"W,51°15'23.29"N,109°18'46.26"W,50°51'57.60"N,106°38'39.62"W,49°40'01.78"N,109°56'49.31"W,49°17'22.02"N,107°21'44.53"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,7.84752,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28790   (51°17'16.44"N),-110.01769  (110°01'03.68"W), 51.20599   (51°12'21.56"N),-106.51423  (106°30'51.23"W), 49.33478   (49°20'05.21"N),-110.05713   (110°03'25.67"W), 49.25831   (49°15'29.92"N),-106.69367   (106°41'37.21"W),14481,16321,7241,8161,7241,8161,,,72,7.372,5.347,5.075,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27594,-108.31705,51.25647,-109.31285,50.866,-106.64434,49.66716,-109.94703,49.28945,-107.36237,LE70380252016161EDC00,LE70380252016161EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252016161EDC00
LE70370252016154EDC00,BUMPER,EDC,DAY, 037, 025,2016/06/02,2016:154:18:01:31.0756875,2016:154:18:01:57.8295625, 9, 9,  68.13,  69.65,  98.03,  21.07,  83.77,59.39006424,150.17469788,50°16'31.30"N,106°46'06.06"W,51°15'21.20"N,107°45'52.88"W,50°51'55.08"N,105°05'47.62"W,49°40'01.20"N,108°23'52.08"W,49°17'21.37"N,105°48'48.42"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,7.603413,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.26034   (51°15'37.22"N),-108.61923  (108°37'09.23"W), 51.31630   (51°18'58.68"N),-105.00287  (105°00'10.33"W), 49.22986   (49°13'47.50"N),-108.46846   (108°28'06.46"W), 49.28195   (49°16'55.02"N),-105.00275   (105°00'09.90"W),15081,16821,7541,8411,7541,8411,,,15,8.571,4.146,7.501,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27536,-106.76835,51.25589,-107.76469,50.8653,-105.09656,49.667,-108.3978,49.28927,-105.81345,LE70370252016154EDC00,LE70370252016154EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016154EDC00
LE70370252016138EDC00,BUMPER,EDC,DAY, 037, 025,2016/05/17,2016:138:18:01:24.6233124,2016:138:18:01:51.3771874, 9, 9,  31.55,  64.75,  14.68,  40.96,   5.79,56.90526199,152.57289124,50°16'33.92"N,106°45'19.62"W,51°15'17.60"N,107°45'07.60"W,50°51'51.77"N,105°05'04.52"W,49°39'57.24"N,108°23'08.02"W,49°17'17.92"N,105°48'06.52"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,.186288,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25778   (51°15'28.01"N),-108.61473  (108°36'53.03"W), 51.31361   (51°18'49.00"N),-104.99857  (104°59'54.85"W), 49.23537   (49°14'07.33"N),-108.46473   (108°27'53.03"W), 49.28735   (49°17'14.46"N),-104.99862   (104°59'55.03"W),15021,16821,7511,8411,7511,8411,,,27,5.6,3.725,4.181,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27609,-106.75545,51.25489,-107.75211,50.86438,-105.08459,49.6659,-108.38556,49.28831,-105.80181,LE70370252016138EDC00,LE70370252016138EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016138EDC00
LE70380252016129EDC00,BUMPER,EDC,DAY, 038, 025,2016/05/08,2016:129:18:07:35.2521250,2016:129:18:08:02.0060000, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,54.8122406,153.73374939,50°16'31.73"N,108°18'34.52"W,51°15'14.87"N,109°18'24.16"W,50°51'49.32"N,106°38'20.51"W,49°39'51.80"N,109°56'23.14"W,49°17'11.80"N,107°21'21.64"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,1.199158,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28517   (51°17'06.61"N),-110.01345  (110°00'48.42"W), 51.20314   (51°12'11.30"N),-106.51021  (106°30'36.76"W), 49.33205   (49°19'55.38"N),-110.05305   (110°03'10.98"W), 49.25547   (49°15'19.69"N),-106.68980   (106°41'23.28"W),14481,16321,7241,8161,7241,8161,,,82,5.501,3.521,4.227,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27548,-108.30959,51.25413,-109.30671,50.8637,-106.63903,49.66439,-109.93976,49.28661,-107.35601,LE70380252016129EDC00,LE70380252016129EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252016129EDC00
LE70370252016122EDC00,BUMPER,EDC,DAY, 037, 025,2016/05/01,2016:122:18:01:23.1015000,2016:122:18:01:49.8554375, 9, 9,  32.21,  31.27,  43.92,  28.11,  25.55,52.87636185,154.48536682,50°16'30.29"N,106°46'00.05"W,51°15'14.94"N,107°45'45.72"W,50°51'49.03"N,105°05'40.96"W,49°39'54.43"N,108°23'51.50"W,49°17'15.07"N,105°48'48.46"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-14.838663,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25469   (51°15'16.88"N),-108.62739  (108°37'38.60"W), 51.31091   (51°18'39.28"N),-105.00717  (105°00'25.81"W), 49.23231   (49°13'56.32"N),-108.47688   (108°28'36.77"W), 49.28465   (49°17'04.74"N),-105.00688   (105°00'24.77"W),15021,16841,7511,8421,7511,8421,,,17,7.706,2.777,7.188,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27508,-106.76668,51.25415,-107.7627,50.86362,-105.09471,49.66512,-108.39764,49.28752,-105.81346,LE70370252016122EDC00,LE70370252016122EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252016122EDC00
LE70380252016113EDC00,BUMPER,EDC,DAY, 038, 025,2016/04/22,2016:113:18:07:30.9057500,2016:113:18:07:57.6596875, 9, 9,  18.74,  17.97,   3.46,  52.75,   0.78,50.05015564,155.24559021,50°16'28.09"N,108°18'36.22"W,51°15'18.90"N,109°18'21.67"W,50°51'52.27"N,106°38'15.25"W,49°39'56.92"N,109°56'22.09"W,49°17'17.12"N,107°21'17.50"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,5.698502,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28783   (51°17'16.19"N),-110.00909  (110°00'32.72"W), 51.20583   (51°12'20.99"N),-106.50995  (106°30'35.82"W), 49.33471   (49°20'04.96"N),-110.04887   (110°02'55.93"W), 49.25816   (49°15'29.38"N),-106.68956   (106°41'22.42"W),14481,16301,7241,8151,7241,8151,,,85,5.752,3.351,4.675,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27447,-108.31006,51.25525,-109.30602,50.86452,-106.63757,49.66581,-109.93947,49.28809,-107.35486,LE70380252016113EDC00,LE70380252016113EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252016113EDC00
LE70380252016097EDC00,BUMPER,EDC,DAY, 038, 025,2016/04/06,2016:097:18:07:22.4474375,2016:097:18:07:49.2013125, 9, 9,  37.52,   1.20,  17.49,  79.40,  52.00,44.29513168,156.13827515,50°16'29.10"N,108°17'31.24"W,51°15'20.81"N,109°17'18.89"W,50°51'53.60"N,106°37'09.08"W,49°40'00.34"N,109°55'20.96"W,49°17'19.28"N,107°20'13.20"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,1.794968,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28506   (51°17'06.22"N),-110.00054  (110°00'01.94"W), 51.20281   (51°12'10.12"N),-106.50165  (106°30'05.94"W), 49.34004   (49°20'24.14"N),-110.04051   (110°02'25.84"W), 49.26323   (49°15'47.63"N),-106.68087   (106°40'51.13"W),14421,16301,7211,8151,7211,8151,,,38,5.106,3.817,3.392,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27475,-108.29201,51.25578,-109.28858,50.86489,-106.61919,49.66676,-109.92249,49.28869,-107.337,LE70380252016097EDC00,LE70380252016097EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252016097EDC00
